静謐,せいひつ
手鞠,てまり
握鮨,にぎりずし
嚆矢,こうし
声々,こえごえ
用箪笥,ようだんす
手篭,てかご
手篭,てごめ
粉糠,こぬか
憑物,つきもの
溢美,いつび
譫妄,せんもう
余塵,よじん
榴弾,りゅうだん
快闊,かいかつ
白絣,しろがすり
辰宿,しんしゅく
弓杖,ゆんづえ
雨笠,あまがさ
籾米,もみごめ
巡錫,じゅんしゃく
梵鐘,ぼんしょう
碧水,へきすい
蜜柑色,みかんいろ
癇声,かんごえ
弩級艦,どきゅうかん
詭計,きけい
斧正,ふせい
頭陀,ずだ
五人囃子,ごにんばやし
爾余,じよ
白狐,びゃっこ
戦戦兢兢,せんせんきょうきょう
蕃社,ばんしゃ
鄙見,ひけん
菩薩戒,ぼさつかい
薮井竹庵,やぶいちくあん
真鯵,まあじ
臙脂,えんじ
嚢中,のうちゅう
胡桃,くるみ
饂飩粉,うどんこ
断々乎,だんだんこ
真魚鰹,まながつお
老爺,ろうや
姦婦,かんぷ
溲瓶,しゅびん
溲瓶,しびん
藁布団,わらぶとん
尾篭,おこ
香盒,こうごう
月桂,げっけい
痳毒,りんどく
続篇,ぞくへん
潜函,せんかん
智慧歯,ちえば
紅生姜,べにしょうが
煉丹,れんたん
胡麻幹,ごまがら
高鼾,たかいびき
蜂窩,ほうか
捲線,まきせん
蒼枯,そうこ
衆智,しゅうち
小綬鶏,こじゅけい
咎人,とがにん
吊手,つりて
霞目,かすみめ
灰塵,かいじん
早蕨,さわらび
糶市,せりいち
鉦鼓,しょうこ
軽袗,かるさん
颯爽,さっそう
梨瓜,なしうり
間竿,けんざお
訓詁,くんこ
慧眼,けいがん
裂帛,れっぱく
禁厭,きんえん
土匪,どひ
独楽鼠,こまねずみ
柏手,かしわで
吾妹,わぎも
艱苦,かんく
卵巣膿腫,らんそうのうしゅ
釘抜,くぎぬき
湯桶読,ゆとうよみ
挽歌,ばんか
隔靴掻痒,かっかそうよう
食祿,しょくろく
古伊万里,こいまり
岩躑躅,いわつつじ
悪洒落,わるじゃれ
顛末,てんまつ
車蝦,くるまえび
媚薬,びやく
白毫,びゃくごう
置炬燵,おきごたつ
年々歳々,ねんねんさいさい
華奢,きゃしゃ
桝目,ますめ
撫子,なでしこ
鯣烏賊,するめいか
綾羅,りょうら
金鵄,きんし
軽捷,けいしょう
曩祖,のうそ
Δ変調,でるたへんちょう
缺点,けってん
留桶,とめおけ
綸旨,りんじ
辨慶草,べんけいそう
堡塁,ほるい
堡塁,ほうるい
溜息,ためいき
粉黛,ふんたい
蓑毛,みのげ
機鋒,きほう
梁山泊,りょうざんぱく
空蝉,うつせみ
翠緑,すいりょく
激湍,げきたん
綸子,りんず
赤樫,あかがし
野晒,のざらし
海嘯,かいしょう
海嘯,つなみ
瘡痕,そうこん
辰星,しんせい
年嵩,としかさ
腋臭,わきが
屠牛,とぎゅう
微賎,びせん
皐月,さつき
笊蕎麦,ざるそば
奴凧,やっこだこ
黄檗宗,おうばくしゅう
鴨跖草,つきくさ
渾然,こんぜん
管絃,かんげん
旅篭銭,はたごせん
城廓,じょうかく
馬筏,うまいかだ
馬鍬,まぐわ
馬鍬,まんが
漆喰,しっくい
檀紙,だんし
外濠,そとぼり
酉町,とりのまち
紙燭,しそく
書肆,しょし
夕蝉,ゆうぜみ
爪楊枝,つまようじ
鳶職,とびしょく
乱杙,らんぐい
悄然,しょうぜん
瓦斯,がす
舵機,だき
月々,つきづき
杜氏,とうじ
蛙股,かえるまた
繭紬,けんちゅう
堂々,どうどう
兜巾,ときん
馬謖,ばしょく
菩提心,ぼだいしん
廻章,かいしょう
虫鰈,むしがれい
三々九度,さんさんくど
眼睛,がんせい
常磐,ときわ
都塵,とじん
鼻茸,はなたけ
千歳飴,ちとせあめ
先鞭,せんべん
転轍機,てんてつき
瀝青,れきせい
三羽烏,さんばがらす
